filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch0.fast5	c1cd0296-ee07-4e2e-b4e9-3db6d54f2ab1	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	18	2	74626.004316	22.337649	6728	TRUE	74626.289841	6642	22.052125	945	7.443401	0.000000	100.276855	10.733861	100.276855	10.733861
batch0.fast5	c71a31de-96b1-4766-b42b-a01deec24cec	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	160	4	74592.667995	38.487716	11592	TRUE	74593.111554	11458	38.044157	1335	8.021983	0.000000	104.937614	12.146211	104.937614	12.146211
batch0.fast5	c7ecd807-d3d5-4ca8-b6e0-dd49562b90f7	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	156	3	74561.370186	7.123506	2145	TRUE	74562.274236	1873	6.219456	465	8.352567	0.000000	111.151955	15.677086	111.151955	15.677086
batch0.fast5	c9247678-2bad-4076-8030-033819df132a	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	219	3	30306.546813	7.767596	2339	TRUE	30307.776892	1969	6.537517	428	7.729269	0.000000	111.716888	15.959556	111.716888	15.959556
batch0.fast5	cb34b967-9aef-452a-975e-fba11018a55b	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	72	3	74477.027888	30.094622	9064	TRUE	74479.498672	8320	27.623838	1256	7.843990	0.000000	108.186020	12.428680	108.186020	12.428680
batch0.fast5	cb557d32-0ef8-4c19-9f61-ecea760ae184	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	43	2	74550.322045	12.824037	3862	TRUE	74552.407703	3234	10.738380	650	8.455778	0.000000	111.434425	15.112146	111.434425	15.112146
batch0.fast5	cd50960e-1abb-439b-8d29-9b68d93f5676	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	325	4	74571.656375	8.316733	2505	TRUE	74573.813745	1855	6.159363	462	8.134883	0.000000	113.976654	14.970911	113.976654	14.970911
batch0.fast5	ce4cff30-037a-485c-b736-b4d8295239f2	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	478	2	74620.727092	7.036521	2119	FALSE	74622.245684	1662	5.517928	377	6.973127	0.000000	119.626053	15.394616	119.626053	15.394616
batch0.fast5	ceac22b8-f556-483d-aefa-29397c9a46bc	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	45	2	74573.936255	14.273572	4299	TRUE	74577.604250	3194	10.605578	435	8.122334	0.000000	95.192398	14.123501	95.192398	14.123501
batch0.fast5	ced2753c-59de-490f-ae47-332bc676ef6d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	241	2	30340.529880	9.845950	2965	TRUE	30342.232404	2452	8.143426	561	7.926086	0.000000	107.621078	15.959556	107.621078	15.959556
batch0.fast5	cf1204aa-0676-442c-8c42-4a52be142fc5	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	13	1	74555.921979	10.393758	3130	TRUE	74556.101262	3076	10.214475	546	8.043800	0.000000	107.762314	11.581271	107.762314	11.581271
batch0.fast5	cf872a24-8315-4049-b0cc-88d747d57ae9	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	164	1	30261.129482	18.741036	5644	TRUE	30262.277556	5299	17.592961	1286	7.631765	0.000000	104.796379	13.699796	104.796379	13.699796
batch0.fast5	d11bfb3d-5759-404b-a639-1861c8a9499d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	15	1	74523.216799	8.231076	2479	TRUE	74525.727424	1723	5.720452	334	7.863970	0.000000	110.869484	14.688441	110.869484	14.688441
batch0.fast5	d1fbc750-94b1-4442-a0f7-4bb74e0ced89	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	175	4	74630.388446	23.273904	7010	FALSE	74631.965139	6535	21.697211	922	6.966599	0.000000	106.491196	14.123501	106.491196	14.123501
batch0.fast5	d200c952-f4fa-4614-825e-fe29fcf50359	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	15	2	30314.212483	5.826693	1755	TRUE	30314.754648	1591	5.284529	354	7.680506	0.000000	104.513908	9.603981	104.513908	9.603981
batch0.fast5	d33f3edb-05c2-47e7-8513-5fecf9e9a454	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	25	1	74676.580013	8.390438	2527	FALSE	74676.713147	2487	8.257304	407	6.742503	0.000000	112.140594	14.264736	112.140594	14.264736
batch0.fast5	d408881d-af94-47d1-9ae1-c01e0fb691fa	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	324	1	74647.000000	6.226428	1875	TRUE	74649.488380	1125	3.738048	237	8.297714	0.000000	118.919876	16.524496	118.919876	16.524496
batch0.fast5	d5064746-9636-498e-8e40-7d1306d0bbd1	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	158	3	74518.354582	23.634130	7118	TRUE	74520.055777	6606	21.932935	1303	8.121644	0.000000	110.587013	13.699796	110.587013	13.699796
batch0.fast5	d5467922-ee6d-4e66-86ee-6f17b0ead6bd	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	404	4	30310.473772	60.221780	18138	TRUE	30310.473772	18138	60.221780	1383	7.516894	0.000000	101.971680	12.852386	101.971680	12.852386
batch0.fast5	d6896487-f00e-4619-8b8f-2220f28fae19	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	341	1	74644.738380	18.978752	5716	TRUE	74644.958831	5650	18.758300	885	8.010693	0.000000	104.937614	12.569916	104.937614	12.569916
batch0.fast5	d6c37527-e6d7-498d-8c1d-42ac4017805e	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	413	2	74473.983732	9.145086	2754	TRUE	74475.208499	2385	7.920319	678	7.518917	0.000000	108.609718	15.677086	108.609718	15.677086
batch0.fast5	dbef3621-f668-4be7-84a6-2415732ebd8d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	368	4	74556.088645	19.153054	5768	TRUE	74556.673639	5592	18.568061	638	7.327018	0.000000	105.502548	12.852386	105.502548	12.852386
batch0.fast5	dbfb3cdc-ae97-4254-aa31-1c9e67f873b4	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	403	3	30330.872510	4.723772	1422	TRUE	30332.131806	1043	3.464475	240	7.874251	0.000000	113.411713	16.665731	113.411713	16.665731
batch0.fast5	dcaefa95-3e66-428f-878c-5d87d0c496dd	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	91	3	74531.125498	4.859562	1463	TRUE	74532.416335	1074	3.568725	192	8.912300	0.000000	109.457130	16.383261	109.457130	16.383261
batch0.fast5	dd272bef-a261-4d50-8255-eaf37e6ad4f8	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	67	4	30322.988380	28.726428	8652	FALSE	30323.675631	8445	28.039177	528	5.655260	0.000000	102.960320	13.841031	102.960320	13.841031
batch0.fast5	de225b25-ccb3-4393-b170-abbec5b80999	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	176	2	30349.148074	24.614542	7413	TRUE	30350.843625	6903	22.918991	1111	7.611358	0.000000	112.705536	15.394616	112.705536	15.394616
batch0.fast5	de6f166e-1d9a-4f30-ade6-69fe36bbb230	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	215	2	74496.244688	13.490704	4063	TRUE	74497.400066	3715	12.335325	503	7.712560	0.000000	105.220085	15.535851	105.220085	15.535851
batch0.fast5	de783726-0c5b-474e-a6b3-18a5eb26d67f	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	273	3	30311.115538	17.247676	5195	TRUE	30311.248340	5155	17.114874	895	8.374235	0.000000	102.254143	13.134856	102.254143	13.134856
batch0.fast5	deb2973f-cf99-41f8-905a-150b311b37a7	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	16	2	74631.975100	8.582337	2585	TRUE	74633.919655	1999	6.637782	388	7.461735	0.000000	97.875862	14.264736	97.875862	14.264736
batch0.fast5	df07b709-10bc-4717-9d35-db8c114f6d8d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	221	4	74622.906042	16.594290	4998	TRUE	74624.901726	4397	14.598606	732	8.566669	0.000000	106.067490	12.852386	106.067490	12.852386
batch0.fast5	e1cd1e8f-df56-4a30-a4de-33ee9597ec70	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	312	2	74472.645418	21.234728	6395	TRUE	74472.858566	6331	21.021580	1354	7.690878	0.000000	98.299568	11.298800	98.299568	11.298800
batch0.fast5	e3d320df-b265-42bc-b4c8-3c5e8d60e884	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	327	4	74519.658035	9.448539	2845	TRUE	74521.900730	2170	7.205843	382	8.175996	0.000000	113.411713	15.818321	113.411713	15.818321
batch0.fast5	e4596be9-760c-4037-9186-41af2805a691	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	100	4	74584.597278	26.643758	8025	TRUE	74586.675963	7399	24.565073	1346	7.726312	0.000000	100.700562	11.581271	100.700562	11.581271
batch0.fast5	e5e70a5e-1846-415a-aeb2-ccbced30efb5	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	191	4	74648.185923	11.275232	3396	TRUE	74648.428951	3322	11.032205	535	7.708794	0.000000	94.768692	9.462746	94.768692	9.462746
batch0.fast5	e62e3c4a-a338-45a1-8b78-8040e2b94941	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	210	4	74541.877822	7.054781	2124	TRUE	74543.247012	1712	5.685591	360	7.673785	0.000000	113.129242	14.547206	113.129242	14.547206
batch0.fast5	e642c2df-a2b0-42f9-9648-90754ac9051e	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	258	4	30365.085325	9.124502	2748	TRUE	30366.385126	2356	7.824701	622	7.627650	0.000000	103.525261	14.405971	103.525261	14.405971
batch0.fast5	e735eca4-1e5e-4e0d-89dd-62c8f3eddb7e	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	484	2	30288.703851	6.199535	1867	TRUE	30289.703187	1566	5.200199	333	7.213493	0.000000	106.632431	15.253381	106.632431	15.253381
